РЯРк,СОАЁ,РќРЯДыКё,ЕюЖєЗќ,АХЗЁЗЎ,АХЗЁБнОз,АјИХЕЕАХЗЁЗЎ,АјИХЕЕАХЗЁДыБн,ИХИХКёСп,АјИХЕЕЦђБеАЁ(Пј)
2026/06/26,2700000,217000,-7.44,11790316,32104371472,513204,1394078804,4.35,2716422
2026/06/25,2939000,359000,+13.91,11611902,33383852436,220771,620374260,1.90,2810035
2026/06/24,2653000,98000,+3.84,13638766,35382738950,561717,1448769894,4.12,2579181
2026/06/23,2569000,350000,-11.99,14926616,40722216263,430816,1164403462,2.89,2702786
2026/06/22,2959000,195000,+7.05,9310119,26765735833,76693,221970930,0.82,2894279
2026/06/19,2755000,70000,+2.61,12451531,34707848622,310001,853836874,2.49,2754304
2026/06/18,2699000,178000,+7.06,10003596,26433889181,199138,527328792,1.99,2648057
2026/06/17,2502000,120000,+5.04,7738593,18943730192,64421,157409904,0.83,2443456
2026/06/16,2418000,130000,+5.68,7376318,17481239688,106043,251321066,1.44,2369992
2026/06/15,2320000,170000,+7.91,6447007,14785018713,160251,367271669,2.49,2291853
2026/06/12,2162000,61000,+2.90,9508078,21267087265,315010,715800132,3.31,2272309
2026/06/11,2138000,90000,+4.39,10222548,21180337455,247393,510458958,2.42,2063352
2026/06/10,2015000,200000,-9.03,8284440,17202562261,197384,415884676,2.38,2106983
2026/06/09,2236000,325000,+17.01,9858883,20876835742,401172,856760938,4.07,2135645
2026/06/08,1978000,92000,-4.44,12564730,24544953304,282740,566644462,2.25,2004118
2026/06/05,2072000,226000,-9.83,10053111,21180638004,311779,661075548,3.10,2120334
2026/06/04,2206000,154000,-6.53,6295315,14383027655,265857,608547920,4.22,2289005
2026/06/02,2324000,39000,-1.65,9353674,21840048182,241902,563900058,2.59,2331110
2026/06/01,2378000,45000,+1.93,9321336,21910224143,157060,364176823,1.68,2318711
2026/05/29,2350000,61000,+2.66,12279503,28691745892,590992,1378086291,4.81,2331819
2026/05/28,2253000,10000,+0.45,10642198,23790595768,347833,763466067,3.27,2194921
2026/05/27,2317000,265000,+12.91,13464180,30581977423,166488,375247558,1.24,2253902
2026/05/26,2090000,149000,+7.68,8853284,18162953934,288463,585970229,3.26,2031353
2026/05/22,1941000,1000,+0.05,5274428,10226570544,61519,119370760,1.17,1940388
2026/05/21,1903000,158000,+9.05,9773725,18530820546,139424,261294990,1.43,1874103
2026/05/20,1786000,41000,+2.35,9147938,15945879133,118026,205062732,1.29,1737437
2026/05/19,1719000,121000,-6.58,7805248,13809666777,115484,206071360,1.48,1784415
2026/05/18,1840000,21000,+1.15,10771377,19540824187,52777,95942872,0.49,1817892
2026/05/15,1848000,122000,-6.19,13151904,24782712708,236473,458982944,1.80,1940953
2026/05/14,1964000,12000,-0.61,9925086,19549606021,265308,523584667,2.67,1973497
2026/05/13,1992000,157000,+8.56,12803574,24347788359,252616,457397458,1.97,1810643
2026/05/12,1813000,67000,-3.56,15122207,28560202728,102294,194302745,0.68,1899454
2026/05/11,1908000,222000,+13.17,12911808,24257974411,258035,480864754,2.00,1863564
2026/05/08,1681000,27000,+1.63,7331920,12069525457,30791,50535924,0.42,1641256
2026/05/07,1646000,45000,+2.81,9908765,16131422279,59002,96205470,0.60,1630546
2026/05/06,1650000,203000,+14.03,11099704,17718506679,339085,538599990,3.05,1588392
2026/05/04,1438000,152000,+11.82,10120675,14144563006,26989,37693598,0.27,1396628
2026/04/30,1294000,1000,+0.08,5358544,6982543207,10593,13861593,0.20,1308562
2026/04/29,1300000,0,0,5168665,6693262188,58450,75823528,1.13,1297237
2026/04/28,1288000,4000,-0.31,6021369,7892265874,119045,155947548,1.98,1309988
2026/04/27,1301000,79000,+6.46,8461155,10876434072,33090,42753827,0.39,1292047
2026/04/24,1227000,2000,+0.16,5388797,6578133496,65340,79558326,1.21,1217605
2026/04/23,1219000,4000,-0.33,9854593,12088102728,67130,82333840,0.68,1226484
2026/04/22,1220000,4000,-0.33,6004723,7315447922,66419,80813430,1.11,1216722
2026/04/21,1247000,81000,+6.95,6684824,8122945244,46701,56540306,0.70,1210687
2026/04/20,1170000,42000,+3.72,6256274,7259895933,198310,228300969,3.17,1151233
2026/04/17,1144000,11000,-0.95,5607937,6386729871,376722,427940432,6.72,1135958
2026/04/16,1148000,12000,+1.06,5211225,5989912718,47650,54899464,0.91,1152140
2026/04/15,1138000,35000,+3.17,7524143,8695056202,147782,171508456,1.96,1160550
2026/04/14,1117000,77000,+7.40,8897661,9836414575,70105,77633512,0.79,1107389
2026/04/13,1032000,5000,+0.49,5242855,5359602254,108834,112180030,2.08,1030744
2026/04/10,1026000,28000,+2.81,5369802,5534079352,62027,63984452,1.16,1031558
2026/04/09,995000,38000,-3.68,7998663,8040228324,449579,449532144,5.62,999896
2026/04/08,1043000,127000,+13.86,11906741,12061227054,211434,215749096,1.78,1020409
2026/04/07,895000,9000,+1.02,6396306,5827494562,453712,413662379,7.09,911729
2026/04/06,900000,24000,+2.74,6090287,5400527274,107097,94480672,1.76,882197
2026/04/03,875000,45000,+5.42,4904437,4289436140,164583,144244674,3.36,876425
2026/04/02,823000,70000,-7.84,9501556,8179245167,439283,372387820,4.62,847717
2026/04/01,890000,83000,+10.29,9709306,8535000309,161570,142088750,1.66,879425
2026/03/31,806000,67000,-7.67,11832260,9717949509,115715,95131299,0.98,822117
2026/03/30,877000,45000,-4.88,7526085,6576737701,111897,97444679,1.49,870843
2026/03/27,906000,27000,-2.89,7669917,6926847939,291941,264601844,3.81,906354
2026/03/26,935000,60000,-6.03,8093472,7681440827,312429,295783160,3.86,946721
2026/03/25,1004000,18000,+1.83,7425847,7529324394,261997,263440229,3.53,1005509
2026/03/24,987000,54000,+5.79,7418975,7242930215,71278,69720294,0.96,978146
2026/03/23,933000,74000,-7.35,7271704,6864794658,189193,178010432,2.60,940893
2026/03/20,1006000,7000,-0.69,5518536,5595412442,237698,240439494,4.31,1011534
2026/03/19,1001000,55000,-5.21,6412761,6502662616,293369,298328400,4.57,1016905
2026/03/18,1060000,90000,+9.28,6986660,7152956763,93346,95754741,1.34,1025804
2026/03/17,976000,2000,+0.21,6313951,6263860260,84406,84168560,1.34,997187
2026/03/16,977000,67000,+7.36,6364678,6029805878,81894,78196690,1.29,954852
2026/03/13,915000,15000,-1.61,5490815,4971107459,156834,142626857,2.86,909413
2026/03/12,935000,20000,-2.09,5511513,5173711773,65612,61556418,1.19,938188
2026/03/11,950000,12000,+1.28,6800772,6538184712,79996,76652480,1.18,958204
2026/03/10,939000,103000,+12.32,8850054,8201897258,88864,82434762,1.00,927651
2026/03/09,831000,93000,-10.06,11249631,9380874273,301653,250854036,2.68,831598
2026/03/06,914000,27000,-2.87,6166431,5636784556,104111,95200164,1.69,914410
2026/03/05,953000,104000,+12.25,10992400,10540387274,315249,301453352,2.87,956239
