일자,기초자산,전일대비,등락률,주식선물,전일대비,등락률,거래량,미결제,이론가,괴리율,이론BASIS,시장BASIS
2026/06/26,2673000,244000,-8.36,2954000,0,0.00,0,50704,2688695,+9.87,+15695,+281000
2026/06/25,2917000,337000,+13.06,2623000,0,0.00,0,50704,2934390,-10.61,+17390,-294000
2026/06/24,2580000,25000,+0.98,2577000,0,0.00,0,50704,2595595,-0.72,+15595,-3000
2026/06/23,2555000,364000,-12.47,2964000,0,0.00,0,50704,2570696,+15.30,+15696,+409000
2026/06/22,2919000,155000,+5.61,2675000,0,0.00,0,50704,2937150,-8.93,+18150,-244000
2026/06/19,2764000,79000,+2.94,2675000,54000,-1.98,1,50704,2782007,-3.85,+18007,-89000
2026/06/18,2685000,164000,+6.51,2568000,0,0.00,0,50705,2702632,-4.98,+17632,-117000
2026/06/17,2521000,139000,+5.84,2415000,0,0.00,6500,50705,2537791,-4.84,+16791,-106000
2026/06/16,2382000,94000,+4.11,2369000,0,0.00,0,44205,2398032,-1.21,+16032,-13000
2026/06/15,2288000,138000,+6.42,2369000,215000,+9.98,3,44205,2303732,+2.83,+15732,+81000
2026/06/12,2150000,49000,+2.33,2132000,0,0.00,0,44206,2165329,-1.54,+15329,-18000
2026/06/11,2101000,53000,+2.59,2081000,0,0.00,0,44206,2115982,-1.65,+14982,-20000
2026/06/10,2048000,167000,-7.54,2236000,0,0.00,6900,44206,2062809,+8.40,+14809,+188000
2026/06/09,2215000,304000,+15.91,1886000,0,0.00,0,37306,2231052,-15.47,+16052,-329000
2026/06/08,1911000,159000,-7.68,1995000,0,0.00,0,37306,1924849,+3.64,+13849,+84000
2026/06/05,2070000,228000,-9.92,2301000,0,0.00,0,37306,2085631,+10.33,+15631,+231000
2026/06/04,2298000,62000,-2.63,2357000,0,0.00,0,37306,2315512,+1.79,+17512,+59000
2026/06/02,2360000,3000,-0.13,2378000,0,0.00,6300,37306,2378366,-0.02,+18366,+18000
2026/06/01,2363000,30000,+1.29,2320000,0,0.00,13000,31006,2381510,-2.58,+18510,-43000
2026/05/29,2333000,44000,+1.92,2320000,0,0.00,13001,18006,2351886,-1.36,+18886,-13000
2026/05/28,2289000,46000,+2.05,2320000,20000,-0.85,3,5006,2307569,+0.54,+18569,+31000
2026/05/27,2243000,191000,+9.31,2340000,250000,+11.96,5001,5004,2261167,+3.49,+18167,+97000
2026/05/26,2052000,111000,+5.72,2090000,131000,+6.69,1,4,2068746,+1.03,+16746,+38000
2026/05/22,1941000,1000,+0.05,2000000,0,0.00,0,4,1957539,+2.17,+16539,+59000
2026/05/21,1940000,195000,+11.17,2000000,245000,+13.96,1,4,1956681,+2.21,+16681,+60000
2026/05/20,1745000,0,0.00,1765000,0,0.00,0,3,1760103,+0.28,+15103,+20000
2026/05/19,1745000,95000,-5.16,1863000,0,0.00,0,3,1760238,+5.84,+15238,+118000
2026/05/18,1840000,21000,+1.15,1865000,0,0.00,0,3,1856232,+0.47,+16232,+25000
2026/05/15,1819000,151000,-7.66,2005000,0,0.00,0,3,1835088,+9.26,+16088,+186000
2026/05/14,1970000,6000,-0.30,1998000,0,0.00,0,3,1987640,+0.52,+17640,+28000
2026/05/13,1976000,141000,+7.68,1851000,0,0.00,0,3,1993850,-7.16,+17850,-125000
2026/05/12,1835000,45000,-2.39,1910000,0,0.00,0,3,1851665,+3.15,+16665,+75000
2026/05/11,1880000,194000,+11.51,1711000,0,0.00,0,3,1897302,-9.82,+17302,-169000
2026/05/08,1686000,32000,+1.93,1620000,0,0.00,0,3,1701833,-4.81,+15833,-66000
2026/05/07,1654000,53000,+3.31,1620000,0,0.00,1,3,1669705,-2.98,+15705,-34000
2026/05/06,1601000,154000,+10.64,1464000,0,0.00,0,2,1616303,-9.42,+15303,-137000
2026/05/04,1447000,161000,+12.52,1298000,0,0.00,0,2,1461037,-11.16,+14037,-149000
2026/04/30,1286000,7000,-0.54,1303000,0,0.00,0,2,1298796,+0.32,+12796,+17000
2026/04/29,1293000,7000,-0.54,1317000,0,0.00,0,2,1305971,+0.84,+12971,+24000
2026/04/28,1300000,8000,+0.62,1307000,0,0.00,0,2,1313196,-0.47,+13196,+7000
2026/04/27,1292000,70000,+5.73,1238000,0,0.00,0,2,1305212,-5.15,+13212,-54000
2026/04/24,1222000,3000,-0.24,1238000,0,0.00,0,2,1234792,+0.26,+12792,+16000
2026/04/23,1225000,2000,+0.16,1239000,0,0.00,0,2,1237780,+0.10,+12780,+14000
2026/04/22,1223000,1000,-0.08,1238000,0,0.00,0,2,1235806,+0.18,+12806,+15000
2026/04/21,1224000,58000,+4.97,1179000,0,0.00,0,2,1236961,-4.69,+12961,-45000
2026/04/20,1166000,38000,+3.37,1142000,0,0.00,0,2,1178402,-3.09,+12402,-24000
2026/04/17,1128000,27000,-2.34,1169000,0,0.00,0,2,1140239,+2.52,+12239,+41000
2026/04/16,1155000,19000,+1.67,1150000,0,0.00,0,2,1167546,-1.50,+12546,-5000
2026/04/15,1136000,33000,+2.99,1120000,0,0.00,0,2,1148416,-2.47,+12416,-16000
2026/04/14,1103000,63000,+6.06,1053000,0,0.00,0,2,1115210,-5.58,+12210,-50000
2026/04/13,1040000,13000,+1.27,1041000,0,0.00,0,2,1051465,-1.00,+11465,+1000
2026/04/10,1027000,29000,+2.91,1010000,0,0.00,0,2,1038509,-2.75,+11509,-17000
2026/04/09,998000,35000,-3.39,1044000,0,0.00,0,2,1009240,+3.44,+11240,+46000
2026/04/08,1033000,117000,+12.77,924000,0,0.00,0,2,1044917,-11.57,+11917,-109000
2026/04/07,916000,30000,+3.39,896000,0,0.00,0,2,926514,-3.29,+10514,-20000
2026/04/06,886000,10000,+1.14,886000,0,0.00,0,2,896215,-1.14,+10215,
2026/04/03,876000,46000,+5.54,844000,0,0.00,0,2,886451,-4.79,+10451,-32000
2026/04/02,830000,63000,-7.05,900000,0,0.00,0,2,839819,+7.17,+9819,+70000
2026/04/01,893000,86000,+10.66,816000,0,0.00,0,2,903771,-9.71,+10771,-77000
2026/03/31,807000,66000,-7.56,886000,0,0.00,0,2,816834,+8.47,+9834,+79000
2026/03/30,873000,49000,-5.31,938000,0,0.00,0,2,883730,+6.14,+10730,+65000
2026/03/27,922000,11000,-1.18,952000,0,0.00,0,2,933425,+1.99,+11425,+30000
2026/03/26,933000,62000,-6.23,1011000,0,0.00,0,2,944558,+7.03,+11558,+78000
2026/03/25,995000,9000,+0.91,1003000,0,0.00,0,2,1007685,-0.46,+12685,+8000
2026/03/24,986000,53000,+5.68,944000,0,0.00,0,2,998780,-5.48,+12780,-42000
2026/03/23,933000,74000,-7.35,1015000,0,0.00,0,2,945040,+7.40,+12040,+82000
2026/03/20,1007000,6000,-0.59,1023000,0,0.00,0,2,1020199,+0.27,+13199,+16000
2026/03/19,1013000,43000,-4.07,1071000,0,0.00,0,2,1026118,+4.37,+13118,+58000
2026/03/18,1056000,86000,+8.87,985000,0,0.00,0,2,1069789,-7.93,+13789,-71000
2026/03/17,970000,4000,-0.41,983000,0,0.00,0,2,982680,+0.03,+12680,+13000
2026/03/16,974000,64000,+7.03,1042000,0,0.00,0,2,986859,+5.59,+12859,+68000
2026/03/13,910000,20000,-2.15,1042000,93000,+9.80,4,2,922178,+12.99,+12178,+132000
2026/03/12,930000,25000,-2.62,975000,0,0.00,0,1,942395,+3.46,+12395,+45000
2026/03/11,955000,17000,+1.81,947000,0,0.00,0,1,967822,-2.15,+12822,-8000
2026/03/10,938000,102000,+12.20,852000,0,0.00,0,1,951081,-10.42,+13081,-86000
